Population,Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
All Population,Himachal Pradesh,2021,15-49 years,Both,Neglected tropical diseases and malaria,Percent of total deaths,0.002647171585787599,0.0015486128047907733,0.003851660086942258
All Population,Jammu & Kashmir and Ladakh,2021,15-49 years,Both,Neglected tropical diseases and malaria,Death rank,18,,
All Population,Jammu & Kashmir and Ladakh,2021,15-49 years,Both,Neglected tropical diseases and malaria,Percent of total deaths,0.0025750232456892837,0.001412518764965354,0.004124550331577932
All Population,Jharkhand,2021,15-49 years,Both,Neglected tropical diseases and malaria,Death rank,12,,
All Population,Jharkhand,2021,15-49 years,Both,Neglected tropical diseases and malaria,Percent of total deaths,0.018775741335422216,0.0029557481670308577,0.06366596718832226
All Population,Karnataka,2021,15-49 years,Both,Neglected tropical diseases and malaria,Death rank,18,,
All Population,Karnataka,2021,15-49 years,Both,Neglected tropical diseases and malaria,Percent of total deaths,0.005331496160782091,0.003191999515820414,0.008051058232405735
All Population,Kerala,2021,15-49 years,Both,Neglected tropical diseases and malaria,Death rank,17,,
All Population,Kerala,2021,15-49 years,Both,Neglected tropical diseases and malaria,Percent of total deaths,0.002313064712481433,0.0014289309847789482,0.0036647968889877156
All Population,Madhya Pradesh,2021,15-49 years,Both,Neglected tropical diseases and malaria,Death rank,18,,
All Population,Madhya Pradesh,2021,15-49 years,Both,Neglected tropical diseases and malaria,Percent of total deaths,0.005054298151861124,0.0032844622674815986,0.008247741583650029
All Population,Maharashtra,2021,15-49 years,Both,Neglected tropical diseases and malaria,Death rank,17,,
All Population,Maharashtra,2021,15-49 years,Both,Neglected tropical diseases and malaria,Percent of total deaths,0.006701758448912488,0.0036351358118997964,0.014800787630994457
All Population,Manipur,2021,15-49 years,Both,Neglected tropical diseases and malaria,Death rank,18,,
All Population,Manipur,2021,15-49 years,Both,Neglected tropical diseases and malaria,Percent of total deaths,0.0019465254654114196,0.0009845327356898374,0.003284238589131384
All Population,Meghalaya,2021,15-49 years,Both,Neglected tropical diseases and malaria,Death rank,17,,
All Population,Meghalaya,2021,15-49 years,Both,Neglected tropical diseases and malaria,Percent of total deaths,0.00625069351686721,0.002890055184688227,0.016888483333482304
All Population,Mizoram,2021,15-49 years,Both,Neglected tropical diseases and malaria,Death rank,10,,
All Population,Mizoram,2021,15-49 years,Both,Neglected tropical diseases and malaria,Percent of total deaths,0.030362074928897413,0.0012144599161968781,0.09981362373531495
All Population,Nagaland,2021,15-49 years,Both,Neglected tropical diseases and malaria,Death rank,18,,
All Population,Nagaland,2021,15-49 years,Both,Neglected tropical diseases and malaria,Percent of total deaths,0.0030934429633474032,0.0017801602952266379,0.005247247947578424
All Population,Odisha,2021,15-49 years,Both,Neglected tropical diseases and malaria,Death rank,16,,
All Population,Odisha,2021,15-49 years,Both,Neglected tropical diseases and malaria,Percent of total deaths,0.010779633996836378,0.0026673752419324836,0.03444948143120557
All Population,Other Union Territories,2021,15-49 years,Both,Neglected tropical diseases and malaria,Death rank,18,,
All Population,Other Union Territories,2021,15-49 years,Both,Neglected tropical diseases and malaria,Percent of total deaths,0.004223123714767537,0.002862834355052218,0.0063201547330553765
All Population,Punjab,2021,15-49 years,Both,Neglected tropical diseases and malaria,Death rank,18,,
