Population,Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
All Population,Kerala,2021,15-49 years,Both,Musculoskeletal disorders,Death rank,19,,
All Population,Kerala,2021,15-49 years,Both,Musculoskeletal disorders,Percent of total deaths,0.0005550929161551954,0.0004335187419518879,0.0010015275990171006
All Population,Madhya Pradesh,2021,15-49 years,Both,Musculoskeletal disorders,Death rank,21,,
All Population,Madhya Pradesh,2021,15-49 years,Both,Musculoskeletal disorders,Percent of total deaths,0.0005889643985757271,0.0003997934877048239,0.0007413404154180343
All Population,Maharashtra,2021,15-49 years,Both,Musculoskeletal disorders,Death rank,21,,
All Population,Maharashtra,2021,15-49 years,Both,Musculoskeletal disorders,Percent of total deaths,0.001195512712388969,0.0007877142079290554,0.0014951675201982505
All Population,Manipur,2021,15-49 years,Both,Musculoskeletal disorders,Death rank,21,,
All Population,Manipur,2021,15-49 years,Both,Musculoskeletal disorders,Percent of total deaths,0.0006737967709311655,0.0004910006353247599,0.0008477454160413571
All Population,Meghalaya,2021,15-49 years,Both,Musculoskeletal disorders,Death rank,18,,
All Population,Meghalaya,2021,15-49 years,Both,Musculoskeletal disorders,Percent of total deaths,0.0012276184735622465,0.0007028012463994737,0.0016497132203206629
All Population,Mizoram,2021,15-49 years,Both,Musculoskeletal disorders,Death rank,20,,
All Population,Mizoram,2021,15-49 years,Both,Musculoskeletal disorders,Percent of total deaths,0.00025111817722623764,0.00013676929937897204,0.0004593053126985637
All Population,Nagaland,2021,15-49 years,Both,Musculoskeletal disorders,Death rank,20,,
All Population,Nagaland,2021,15-49 years,Both,Musculoskeletal disorders,Percent of total deaths,0.0010358853375084722,0.0005045149003758658,0.0013840945851135962
All Population,Odisha,2021,15-49 years,Both,Musculoskeletal disorders,Death rank,21,,
All Population,Odisha,2021,15-49 years,Both,Musculoskeletal disorders,Percent of total deaths,0.0008036201950278167,0.000619663663788655,0.0009869807018161258
All Population,Other Union Territories,2021,15-49 years,Both,Musculoskeletal disorders,Death rank,20,,
All Population,Other Union Territories,2021,15-49 years,Both,Musculoskeletal disorders,Percent of total deaths,0.000655819932534338,0.0005209033687450675,0.0008987569938097561
All Population,Punjab,2021,15-49 years,Both,Musculoskeletal disorders,Death rank,20,,
All Population,Punjab,2021,15-49 years,Both,Musculoskeletal disorders,Percent of total deaths,0.0009185968002885062,0.0006625631016125965,0.001178271592921329
All Population,Rajasthan,2021,15-49 years,Both,Musculoskeletal disorders,Death rank,21,,
All Population,Rajasthan,2021,15-49 years,Both,Musculoskeletal disorders,Percent of total deaths,0.0006385758088829847,0.0004953881334024155,0.000820095504194849
All Population,Sikkim,2021,15-49 years,Both,Musculoskeletal disorders,Death rank,18,,
All Population,Sikkim,2021,15-49 years,Both,Musculoskeletal disorders,Percent of total deaths,0.0008950993735910756,0.0006950939132479665,0.0011476429302513932
All Population,Tamil Nadu,2021,15-49 years,Both,Musculoskeletal disorders,Death rank,20,,
All Population,Tamil Nadu,2021,15-49 years,Both,Musculoskeletal disorders,Percent of total deaths,0.0011306737554868953,0.0007928730798865509,0.0013926029715699809
All Population,Telangana,2021,15-49 years,Both,Musculoskeletal disorders,Death rank,19,,
All Population,Telangana,2021,15-49 years,Both,Musculoskeletal disorders,Percent of total deaths,0.00119714112383379,0.000797717496727756,0.0015371612765328244
All Population,Tripura,2021,15-49 years,Both,Musculoskeletal disorders,Death rank,19,,
All Population,Tripura,2021,15-49 years,Both,Musculoskeletal disorders,Percent of total deaths,0.0008499730713430726,0.0006019164958422807,0.0010934358086473529
All Population,Uttar Pradesh,2021,15-49 years,Both,Musculoskeletal disorders,Death rank,21,,
All Population,Uttar Pradesh,2021,15-49 years,Both,Musculoskeletal disorders,Percent of total deaths,0.0008702914098676419,0.0006449019880107008,0.0011191499445240445
All Population,Uttarakhand,2021,15-49 years,Both,Musculoskeletal disorders,Death rank,19,,
All Population,Uttarakhand,2021,15-49 years,Both,Musculoskeletal disorders,Percent of total deaths,0.0012658675772790366,0.0007392974912025409,0.001609036455414574
All Population,West Bengal,2021,15-49 years,Both,Musculoskeletal disorders,Death rank,21,,
All Population,West Bengal,2021,15-49 years,Both,Musculoskeletal disorders,Percent of total deaths,0.0006382235366823492,0.0005282791852909034,0.0008514269139061662
All Population,Andhra Pradesh,2021,15-49 years,Both,Other non-communicable diseases,Death rank,15,,
All Population,Andhra Pradesh,2021,15-49 years,Both,Other non-communicable diseases,Percent of total deaths,0.009133251114437437,0.007836355264220352,0.010608425089751202
All Population,Arunachal Pradesh,2021,15-49 years,Both,Other non-communicable diseases,Death rank,15,,
All Population,Arunachal Pradesh,2021,15-49 years,Both,Other non-communicable diseases,Percent of total deaths,0.01158380714044268,0.010134785553132216,0.013588032968762523
All Population,Assam,2021,15-49 years,Both,Other non-communicable diseases,Death rank,15,,
All Population,Assam,2021,15-49 years,Both,Other non-communicable diseases,Percent of total deaths,0.009887730805155336,0.00822234426672931,0.01240810961752033
All Population,Bihar,2021,15-49 years,Both,Other non-communicable diseases,Death rank,15,,
All Population,Bihar,2021,15-49 years,Both,Other non-communicable diseases,Percent of total deaths,0.011344863369755903,0.009621277064155826,0.013645227431913607
All Population,Chhattisgarh,2021,15-49 years,Both,Other non-communicable diseases,Death rank,13,,
All Population,Chhattisgarh,2021,15-49 years,Both,Other non-communicable diseases,Percent of total deaths,0.01631638198146406,0.008749066057108172,0.020509477845864665
All Population,Delhi,2021,15-49 years,Both,Other non-communicable diseases,Death rank,15,,
All Population,Delhi,2021,15-49 years,Both,Other non-communicable diseases,Percent of total deaths,0.012671225793239394,0.010512973863057025,0.015034363969230228
All Population,Goa,2021,15-49 years,Both,Other non-communicable diseases,Death rank,9,,
All Population,Goa,2021,15-49 years,Both,Other non-communicable diseases,Percent of total deaths,0.011166688920102797,0.008260655315272114,0.012969915485960095
All Population,Gujarat,2021,15-49 years,Both,Other non-communicable diseases,Death rank,14,,
All Population,Gujarat,2021,15-49 years,Both,Other non-communicable diseases,Percent of total deaths,0.013045227560873443,0.011435201727411888,0.01481779117858975
All Population,Haryana,2021,15-49 years,Both,Other non-communicable diseases,Death rank,15,,
All Population,Haryana,2021,15-49 years,Both,Other non-communicable diseases,Percent of total deaths,0.011515985175432179,0.010149560170759797,0.013101167201460144
All Population,Himachal Pradesh,2021,15-49 years,Both,Other non-communicable diseases,Death rank,14,,
All Population,Himachal Pradesh,2021,15-49 years,Both,Other non-communicable diseases,Percent of total deaths,0.011377894514682296,0.009995338550905291,0.01311189796638259
All Population,Jammu & Kashmir and Ladakh,2021,15-49 years,Both,Other non-communicable diseases,Death rank,14,,
All Population,Jammu & Kashmir and Ladakh,2021,15-49 years,Both,Other non-communicable diseases,Percent of total deaths,0.011366869354565155,0.009858695897307843,0.013335060772690614
All Population,Jharkhand,2021,15-49 years,Both,Other non-communicable diseases,Death rank,16,,
All Population,Jharkhand,2021,15-49 years,Both,Other non-communicable diseases,Percent of total deaths,0.011077411455817223,0.009461714124008192,0.012909955393845695
All Population,Karnataka,2021,15-49 years,Both,Other non-communicable diseases,Death rank,14,,
All Population,Karnataka,2021,15-49 years,Both,Other non-communicable diseases,Percent of total deaths,0.010462438325813207,0.008809031958777065,0.012136330507530891
All Population,Kerala,2021,15-49 years,Both,Other non-communicable diseases,Death rank,11,,
All Population,Kerala,2021,15-49 years,Both,Other non-communicable diseases,Percent of total deaths,0.012615471832462944,0.007539383636289622,0.015225962281739116
All Population,Madhya Pradesh,2021,15-49 years,Both,Other non-communicable diseases,Death rank,15,,
All Population,Madhya Pradesh,2021,15-49 years,Both,Other non-communicable diseases,Percent of total deaths,0.011862602507087722,0.009351015398074206,0.015045322866122141
All Population,Maharashtra,2021,15-49 years,Both,Other non-communicable diseases,Death rank,15,,
All Population,Maharashtra,2021,15-49 years,Both,Other non-communicable diseases,Percent of total deaths,0.009747758205109446,0.008462494987442306,0.01098024173865929
All Population,Manipur,2021,15-49 years,Both,Other non-communicable diseases,Death rank,16,,
All Population,Manipur,2021,15-49 years,Both,Other non-communicable diseases,Percent of total deaths,0.009161993506900397,0.00763947877451907,0.010927455477477676
All Population,Meghalaya,2021,15-49 years,Both,Other non-communicable diseases,Death rank,14,,
All Population,Meghalaya,2021,15-49 years,Both,Other non-communicable diseases,Percent of total deaths,0.01100952929805481,0.009394650243308805,0.01353552307980532
All Population,Mizoram,2021,15-49 years,Both,Other non-communicable diseases,Death rank,16,,
All Population,Mizoram,2021,15-49 years,Both,Other non-communicable diseases,Percent of total deaths,0.010287633836283238,0.00805172618195626,0.012712487336779814
All Population,Nagaland,2021,15-49 years,Both,Other non-communicable diseases,Death rank,15,,
All Population,Nagaland,2021,15-49 years,Both,Other non-communicable diseases,Percent of total deaths,0.010425619857747237,0.008660379349804018,0.012272697330709688
All Population,Odisha,2021,15-49 years,Both,Other non-communicable diseases,Death rank,11,,
All Population,Odisha,2021,15-49 years,Both,Other non-communicable diseases,Percent of total deaths,0.01850227251149292,0.011442846067253232,0.02271769581559903
All Population,Other Union Territories,2021,15-49 years,Both,Other non-communicable diseases,Death rank,15,,
All Population,Other Union Territories,2021,15-49 years,Both,Other non-communicable diseases,Percent of total deaths,0.0100734007038997,0.00875547641087788,0.012063150136614836
All Population,Punjab,2021,15-49 years,Both,Other non-communicable diseases,Death rank,12,,
All Population,Punjab,2021,15-49 years,Both,Other non-communicable diseases,Percent of total deaths,0.012466928964842278,0.011075129570291659,0.014150435183590646
All Population,Rajasthan,2021,15-49 years,Both,Other non-communicable diseases,Death rank,14,,
All Population,Rajasthan,2021,15-49 years,Both,Other non-communicable diseases,Percent of total deaths,0.012762428245601103,0.010818969538730306,0.014793046663649839
All Population,Sikkim,2021,15-49 years,Both,Other non-communicable diseases,Death rank,14,,
All Population,Sikkim,2021,15-49 years,Both,Other non-communicable diseases,Percent of total deaths,0.010781183425302831,0.009363554483371778,0.013033919014098947
All Population,Tamil Nadu,2021,15-49 years,Both,Other non-communicable diseases,Death rank,14,,
All Population,Tamil Nadu,2021,15-49 years,Both,Other non-communicable diseases,Percent of total deaths,0.010132285821207227,0.007873385692568714,0.011904293409816507
All Population,Telangana,2021,15-49 years,Both,Other non-communicable diseases,Death rank,15,,
All Population,Telangana,2021,15-49 years,Both,Other non-communicable diseases,Percent of total deaths,0.01026765210532241,0.008186405416871188,0.012177002102737937
All Population,Tripura,2021,15-49 years,Both,Other non-communicable diseases,Death rank,15,,
All Population,Tripura,2021,15-49 years,Both,Other non-communicable diseases,Percent of total deaths,0.011397239845031212,0.009335413212768193,0.01344599279955043
All Population,Uttar Pradesh,2021,15-49 years,Both,Other non-communicable diseases,Death rank,14,,
All Population,Uttar Pradesh,2021,15-49 years,Both,Other non-communicable diseases,Percent of total deaths,0.011675091145782591,0.009695668620023457,0.014018785634228077
All Population,Uttarakhand,2021,15-49 years,Both,Other non-communicable diseases,Death rank,14,,
All Population,Uttarakhand,2021,15-49 years,Both,Other non-communicable diseases,Percent of total deaths,0.01286798388970203,0.010285983660013953,0.014713650645041444
All Population,West Bengal,2021,15-49 years,Both,Other non-communicable diseases,Death rank,13,,
All Population,West Bengal,2021,15-49 years,Both,Other non-communicable diseases,Percent of total deaths,0.012129908272065625,0.010425207343868302,0.013685425377453667
All Population,Andhra Pradesh,2021,15-49 years,Both,Transport injuries,Death rank,5,,
All Population,Andhra Pradesh,2021,15-49 years,Both,Transport injuries,Percent of total deaths,0.06922766942254321,0.059411455646054205,0.0806873764008371
All Population,Arunachal Pradesh,2021,15-49 years,Both,Transport injuries,Death rank,6,,
All Population,Arunachal Pradesh,2021,15-49 years,Both,Transport injuries,Percent of total deaths,0.06418122182252807,0.05303692913971782,0.07986510667530852
All Population,Assam,2021,15-49 years,Both,Transport injuries,Death rank,8,,
All Population,Assam,2021,15-49 years,Both,Transport injuries,Percent of total deaths,0.048684459401999884,0.04276913738982086,0.05669259292185361
All Population,Bihar,2021,15-49 years,Both,Transport injuries,Death rank,5,,
All Population,Bihar,2021,15-49 years,Both,Transport injuries,Percent of total deaths,0.06967521771518871,0.05906558487839028,0.08109263910447607
All Population,Chhattisgarh,2021,15-49 years,Both,Transport injuries,Death rank,7,,
All Population,Chhattisgarh,2021,15-49 years,Both,Transport injuries,Percent of total deaths,0.06628640261435692,0.05556256582869271,0.07627485520450779
All Population,Delhi,2021,15-49 years,Both,Transport injuries,Death rank,5,,
All Population,Delhi,2021,15-49 years,Both,Transport injuries,Percent of total deaths,0.07421119023785971,0.05882381051683951,0.09193489336040889
All Population,Goa,2021,15-49 years,Both,Transport injuries,Death rank,6,,
All Population,Goa,2021,15-49 years,Both,Transport injuries,Percent of total deaths,0.06600535260923703,0.055943159530289825,0.08108763255474301
All Population,Gujarat,2021,15-49 years,Both,Transport injuries,Death rank,5,,
All Population,Gujarat,2021,15-49 years,Both,Transport injuries,Percent of total deaths,0.0736090288242553,0.06539766744526126,0.08271221545810355
All Population,Haryana,2021,15-49 years,Both,Transport injuries,Death rank,3,,
All Population,Haryana,2021,15-49 years,Both,Transport injuries,Percent of total deaths,0.09225579988718718,0.081242634874822,0.1040097522986733
All Population,Himachal Pradesh,2021,15-49 years,Both,Transport injuries,Death rank,4,,
All Population,Himachal Pradesh,2021,15-49 years,Both,Transport injuries,Percent of total deaths,0.09273673425373907,0.08091086106750701,0.10644213438469274
All Population,Jammu & Kashmir and Ladakh,2021,15-49 years,Both,Transport injuries,Death rank,3,,
All Population,Jammu & Kashmir and Ladakh,2021,15-49 years,Both,Transport injuries,Percent of total deaths,0.13634170664209566,0.12033698868659269,0.15093078912224522
All Population,Jharkhand,2021,15-49 years,Both,Transport injuries,Death rank,6,,
All Population,Jharkhand,2021,15-49 years,Both,Transport injuries,Percent of total deaths,0.07218170821740036,0.06215132126147431,0.08329429190970267
All Population,Karnataka,2021,15-49 years,Both,Transport injuries,Death rank,6,,
All Population,Karnataka,2021,15-49 years,Both,Transport injuries,Percent of total deaths,0.0642745072949037,0.05645382755837876,0.07289439754347538
All Population,Kerala,2021,15-49 years,Both,Transport injuries,Death rank,5,,
All Population,Kerala,2021,15-49 years,Both,Transport injuries,Percent of total deaths,0.07954335933252968,0.07101489343985512,0.08912733233767199
All Population,Madhya Pradesh,2021,15-49 years,Both,Transport injuries,Death rank,5,,
All Population,Madhya Pradesh,2021,15-49 years,Both,Transport injuries,Percent of total deaths,0.07938371775427239,0.07081482756140997,0.08964835012826869
All Population,Maharashtra,2021,15-49 years,Both,Transport injuries,Death rank,6,,
All Population,Maharashtra,2021,15-49 years,Both,Transport injuries,Percent of total deaths,0.07186826954701149,0.06280093405974387,0.08126181146237899
All Population,Manipur,2021,15-49 years,Both,Transport injuries,Death rank,7,,
All Population,Manipur,2021,15-49 years,Both,Transport injuries,Percent of total deaths,0.07192680743702953,0.06252360169915366,0.0811720624008783
All Population,Meghalaya,2021,15-49 years,Both,Transport injuries,Death rank,8,,
All Population,Meghalaya,2021,15-49 years,Both,Transport injuries,Percent of total deaths,0.044750415144163,0.03838408827804603,0.052104947296284544
All Population,Mizoram,2021,15-49 years,Both,Transport injuries,Death rank,5,,
All Population,Mizoram,2021,15-49 years,Both,Transport injuries,Percent of total deaths,0.0722978840098453,0.058778299590253456,0.0857378519724685
All Population,Nagaland,2021,15-49 years,Both,Transport injuries,Death rank,8,,
All Population,Nagaland,2021,15-49 years,Both,Transport injuries,Percent of total deaths,0.04910975275840422,0.04116443808495144,0.05658007890487585
All Population,Odisha,2021,15-49 years,Both,Transport injuries,Death rank,7,,
All Population,Odisha,2021,15-49 years,Both,Transport injuries,Percent of total deaths,0.06330505225874536,0.05535207466930241,0.0730630690207773
All Population,Other Union Territories,2021,15-49 years,Both,Transport injuries,Death rank,6,,
All Population,Other Union Territories,2021,15-49 years,Both,Transport injuries,Percent of total deaths,0.07323931325348662,0.0634833809634709,0.08506986663695552
All Population,Punjab,2021,15-49 years,Both,Transport injuries,Death rank,3,,
All Population,Punjab,2021,15-49 years,Both,Transport injuries,Percent of total deaths,0.10909434179470526,0.09693817222743581,0.12121150055912133
All Population,Rajasthan,2021,15-49 years,Both,Transport injuries,Death rank,3,,
All Population,Rajasthan,2021,15-49 years,Both,Transport injuries,Percent of total deaths,0.10117498125382457,0.08982926956287689,0.113521362552999
All Population,Sikkim,2021,15-49 years,Both,Transport injuries,Death rank,7,,
All Population,Sikkim,2021,15-49 years,Both,Transport injuries,Percent of total deaths,0.05803998295263515,0.04806868187884906,0.07087138996745
All Population,Tamil Nadu,2021,15-49 years,Both,Transport injuries,Death rank,4,,
All Population,Tamil Nadu,2021,15-49 years,Both,Transport injuries,Percent of total deaths,0.0839373044741389,0.07477623549156455,0.09532546327665377
All Population,Telangana,2021,15-49 years,Both,Transport injuries,Death rank,4,,
All Population,Telangana,2021,15-49 years,Both,Transport injuries,Percent of total deaths,0.07913346477052771,0.06706805303188575,0.09064413813081822
All Population,Tripura,2021,15-49 years,Both,Transport injuries,Death rank,7,,
All Population,Tripura,2021,15-49 years,Both,Transport injuries,Percent of total deaths,0.05161371883822309,0.045467729199536004,0.05926974226162738
All Population,Uttar Pradesh,2021,15-49 years,Both,Transport injuries,Death rank,4,,
All Population,Uttar Pradesh,2021,15-49 years,Both,Transport injuries,Percent of total deaths,0.0828836691066743,0.07184507168106685,0.093078059522162
All Population,Uttarakhand,2021,15-49 years,Both,Transport injuries,Death rank,3,,
All Population,Uttarakhand,2021,15-49 years,Both,Transport injuries,Percent of total deaths,0.12363667287323908,0.10836318678326978,0.13984511183513498
All Population,West Bengal,2021,15-49 years,Both,Transport injuries,Death rank,6,,
All Population,West Bengal,2021,15-49 years,Both,Transport injuries,Percent of total deaths,0.06680985481217624,0.059254658726087324,0.07567412437147311
All Population,Andhra Pradesh,2021,15-49 years,Both,Unintentional injuries,Death rank,7,,
All Population,Andhra Pradesh,2021,15-49 years,Both,Unintentional injuries,Percent of total deaths,0.058966653887231726,0.04824989177689585,0.06719453122326084
All Population,Arunachal Pradesh,2021,15-49 years,Both,Unintentional injuries,Death rank,7,,
All Population,Arunachal Pradesh,2021,15-49 years,Both,Unintentional injuries,Percent of total deaths,0.05147075613125762,0.04451473477081733,0.06020138473165965
All Population,Assam,2021,15-49 years,Both,Unintentional injuries,Death rank,7,,
All Population,Assam,2021,15-49 years,Both,Unintentional injuries,Percent of total deaths,0.0557231518354605,0.0491141139173143,0.062275101114430326
All Population,Bihar,2021,15-49 years,Both,Unintentional injuries,Death rank,3,,
All Population,Bihar,2021,15-49 years,Both,Unintentional injuries,Percent of total deaths,0.07263871863276682,0.05477542854184599,0.08261587320925828
All Population,Chhattisgarh,2021,15-49 years,Both,Unintentional injuries,Death rank,6,,
All Population,Chhattisgarh,2021,15-49 years,Both,Unintentional injuries,Percent of total deaths,0.0670108214639188,0.04892450216104626,0.08084365041062105
All Population,Delhi,2021,15-49 years,Both,Unintentional injuries,Death rank,8,,
All Population,Delhi,2021,15-49 years,Both,Unintentional injuries,Percent of total deaths,0.048520529332341966,0.03634206606533044,0.057113464152472544
All Population,Goa,2021,15-49 years,Both,Unintentional injuries,Death rank,7,,
All Population,Goa,2021,15-49 years,Both,Unintentional injuries,Percent of total deaths,0.0520833515796302,0.04247461064524856,0.05833709202432631
All Population,Gujarat,2021,15-49 years,Both,Unintentional injuries,Death rank,6,,
All Population,Gujarat,2021,15-49 years,Both,Unintentional injuries,Percent of total deaths,0.07129857790348985,0.05563544012301133,0.08158351399070042
All Population,Haryana,2021,15-49 years,Both,Unintentional injuries,Death rank,8,,
All Population,Haryana,2021,15-49 years,Both,Unintentional injuries,Percent of total deaths,0.054244489455670473,0.04158695853843073,0.06165636365160102
All Population,Himachal Pradesh,2021,15-49 years,Both,Unintentional injuries,Death rank,7,,
All Population,Himachal Pradesh,2021,15-49 years,Both,Unintentional injuries,Percent of total deaths,0.06948398925577338,0.05005315376144949,0.08238106200327376
All Population,Jammu & Kashmir and Ladakh,2021,15-49 years,Both,Unintentional injuries,Death rank,5,,
All Population,Jammu & Kashmir and Ladakh,2021,15-49 years,Both,Unintentional injuries,Percent of total deaths,0.061975791093827885,0.04696137835799606,0.07025775563853429
All Population,Jharkhand,2021,15-49 years,Both,Unintentional injuries,Death rank,5,,
All Population,Jharkhand,2021,15-49 years,Both,Unintentional injuries,Percent of total deaths,0.07464003587799084,0.0546495496417029,0.08754056761351381
All Population,Karnataka,2021,15-49 years,Both,Unintentional injuries,Death rank,7,,
All Population,Karnataka,2021,15-49 years,Both,Unintentional injuries,Percent of total deaths,0.05619839186184194,0.05004037638589371,0.06340439851422866
All Population,Kerala,2021,15-49 years,Both,Unintentional injuries,Death rank,8,,
All Population,Kerala,2021,15-49 years,Both,Unintentional injuries,Percent of total deaths,0.04520586094325478,0.041531166915938444,0.05021781744276132
All Population,Madhya Pradesh,2021,15-49 years,Both,Unintentional injuries,Death rank,6,,
All Population,Madhya Pradesh,2021,15-49 years,Both,Unintentional injuries,Percent of total deaths,0.07922456296502439,0.060767748942517186,0.09269945073431886
All Population,Maharashtra,2021,15-49 years,Both,Unintentional injuries,Death rank,7,,
All Population,Maharashtra,2021,15-49 years,Both,Unintentional injuries,Percent of total deaths,0.06448815618087582,0.05067489992087885,0.07350745416128257
All Population,Manipur,2021,15-49 years,Both,Unintentional injuries,Death rank,9,,
All Population,Manipur,2021,15-49 years,Both,Unintentional injuries,Percent of total deaths,0.035762673931554585,0.030624067750143712,0.04393679188841833
All Population,Meghalaya,2021,15-49 years,Both,Unintentional injuries,Death rank,7,,
All Population,Meghalaya,2021,15-49 years,Both,Unintentional injuries,Percent of total deaths,0.04897263852348361,0.04225577307766227,0.05809366271054602
All Population,Mizoram,2021,15-49 years,Both,Unintentional injuries,Death rank,9,,
All Population,Mizoram,2021,15-49 years,Both,Unintentional injuries,Percent of total deaths,0.03872403847036169,0.028467010406393774,0.0493849267515721
All Population,Nagaland,2021,15-49 years,Both,Unintentional injuries,Death rank,7,,
All Population,Nagaland,2021,15-49 years,Both,Unintentional injuries,Percent of total deaths,0.05169685644827918,0.03943413823388797,0.059786755115537604
All Population,Odisha,2021,15-49 years,Both,Unintentional injuries,Death rank,6,,
All Population,Odisha,2021,15-49 years,Both,Unintentional injuries,Percent of total deaths,0.07693673033735843,0.05938592908876101,0.09089524842430204
All Population,Other Union Territories,2021,15-49 years,Both,Unintentional injuries,Death rank,8,,
All Population,Other Union Territories,2021,15-49 years,Both,Unintentional injuries,Percent of total deaths,0.05398733374992036,0.04118767251216591,0.06255567483481948
All Population,Punjab,2021,15-49 years,Both,Unintentional injuries,Death rank,6,,
All Population,Punjab,2021,15-49 years,Both,Unintentional injuries,Percent of total deaths,0.05987476723102903,0.04380795286699655,0.06697963549043756
All Population,Rajasthan,2021,15-49 years,Both,Unintentional injuries,Death rank,6,,
All Population,Rajasthan,2021,15-49 years,Both,Unintentional injuries,Percent of total deaths,0.06990483241530052,0.06060226005320793,0.07901776955075612
All Population,Sikkim,2021,15-49 years,Both,Unintentional injuries,Death rank,8,,
All Population,Sikkim,2021,15-49 years,Both,Unintentional injuries,Percent of total deaths,0.0511407714202913,0.03920697120421681,0.06121075229136878
All Population,Tamil Nadu,2021,15-49 years,Both,Unintentional injuries,Death rank,6,,
All Population,Tamil Nadu,2021,15-49 years,Both,Unintentional injuries,Percent of total deaths,0.05713284095614115,0.04819737221334548,0.06509937402864312
All Population,Telangana,2021,15-49 years,Both,Unintentional injuries,Death rank,8,,
All Population,Telangana,2021,15-49 years,Both,Unintentional injuries,Percent of total deaths,0.06729944538955533,0.054247356459277876,0.07752831456939129
All Population,Tripura,2021,15-49 years,Both,Unintentional injuries,Death rank,8,,
All Population,Tripura,2021,15-49 years,Both,Unintentional injuries,Percent of total deaths,0.04496078414906623,0.03876255824587727,0.05415176673613041
All Population,Uttar Pradesh,2021,15-49 years,Both,Unintentional injuries,Death rank,7,,
All Population,Uttar Pradesh,2021,15-49 years,Both,Unintentional injuries,Percent of total deaths,0.06536223164196157,0.04965831712495525,0.07550881407104809
All Population,Uttarakhand,2021,15-49 years,Both,Unintentional injuries,Death rank,7,,
All Population,Uttarakhand,2021,15-49 years,Both,Unintentional injuries,Percent of total deaths,0.060631956038455254,0.04811432450363711,0.06965083412488998
All Population,West Bengal,2021,15-49 years,Both,Unintentional injuries,Death rank,7,,
All Population,West Bengal,2021,15-49 years,Both,Unintentional injuries,Percent of total deaths,0.06621286648051347,0.05585895711978132,0.07447653306961301
All Population,Andhra Pradesh,2021,15-49 years,Both,Self-harm and interpersonal violence,Death rank,3,,
All Population,Andhra Pradesh,2021,15-49 years,Both,Self-harm and interpersonal violence,Percent of total deaths,0.10667499582548323,0.06946282469803183,0.12118536578214645
All Population,Arunachal Pradesh,2021,15-49 years,Both,Self-harm and interpersonal violence,Death rank,5,,
All Population,Arunachal Pradesh,2021,15-49 years,Both,Self-harm and interpersonal violence,Percent of total deaths,0.10418301301327712,0.09100263718990412,0.11552858745885866
All Population,Assam,2021,15-49 years,Both,Self-harm and interpersonal violence,Death rank,5,,
All Population,Assam,2021,15-49 years,Both,Self-harm and interpersonal violence,Percent of total deaths,0.07056457196906699,0.06270423727036761,0.08491748200665383
All Population,Bihar,2021,15-49 years,Both,Self-harm and interpersonal violence,Death rank,8,,
All Population,Bihar,2021,15-49 years,Both,Self-harm and interpersonal violence,Percent of total deaths,0.057250666454197435,0.049269310662766234,0.08280562447979477
All Population,Chhattisgarh,2021,15-49 years,Both,Self-harm and interpersonal violence,Death rank,3,,
All Population,Chhattisgarh,2021,15-49 years,Both,Self-harm and interpersonal violence,Percent of total deaths,0.10009928075460135,0.07258183215260681,0.11511845428251215
All Population,Delhi,2021,15-49 years,Both,Self-harm and interpersonal violence,Death rank,6,,
All Population,Delhi,2021,15-49 years,Both,Self-harm and interpersonal violence,Percent of total deaths,0.05446113329472867,0.042713554063938744,0.07868632817175507
All Population,Goa,2021,15-49 years,Both,Self-harm and interpersonal violence,Death rank,5,,
All Population,Goa,2021,15-49 years,Both,Self-harm and interpersonal violence,Percent of total deaths,0.07014144963112351,0.060724713691058245,0.07881010010489319
All Population,Gujarat,2021,15-49 years,Both,Self-harm and interpersonal violence,Death rank,3,,
All Population,Gujarat,2021,15-49 years,Both,Self-harm and interpersonal violence,Percent of total deaths,0.09272622336660775,0.07726837869882854,0.10262591801479085
All Population,Haryana,2021,15-49 years,Both,Self-harm and interpersonal violence,Death rank,5,,
All Population,Haryana,2021,15-49 years,Both,Self-harm and interpersonal violence,Percent of total deaths,0.07660369827084818,0.06815925546844848,0.08660214114885596
All Population,Himachal Pradesh,2021,15-49 years,Both,Self-harm and interpersonal violence,Death rank,5,,
All Population,Himachal Pradesh,2021,15-49 years,Both,Self-harm and interpersonal violence,Percent of total deaths,0.08752119972277618,0.07655741392945735,0.09730660680766083
All Population,Jammu & Kashmir and Ladakh,2021,15-49 years,Both,Self-harm and interpersonal violence,Death rank,6,,
All Population,Jammu & Kashmir and Ladakh,2021,15-49 years,Both,Self-harm and interpersonal violence,Percent of total deaths,0.06098592633951672,0.055120303914827674,0.07829363080483474
All Population,Jharkhand,2021,15-49 years,Both,Self-harm and interpersonal violence,Death rank,9,,
All Population,Jharkhand,2021,15-49 years,Both,Self-harm and interpersonal violence,Percent of total deaths,0.054598620570373645,0.04465093134328342,0.073581543675909
All Population,Karnataka,2021,15-49 years,Both,Self-harm and interpersonal violence,Death rank,3,,
All Population,Karnataka,2021,15-49 years,Both,Self-harm and interpersonal violence,Percent of total deaths,0.1277167227601899,0.07436275210585404,0.14270910550071592
All Population,Kerala,2021,15-49 years,Both,Self-harm and interpersonal violence,Death rank,4,,
All Population,Kerala,2021,15-49 years,Both,Self-harm and interpersonal violence,Percent of total deaths,0.11893554888181998,0.06390693056053348,0.13263918966908145
